id,name,artist,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3puZA3ZbAgQVNT4YhguMLm,"Cantata, BWV 75 ""Die Elenden sollen essen"", Prima parte: VII. Chorale. Was Gott tut, das ist wohlgetan","Johann Sebastian Bach",46,classical,0.379000,0.330000,6,-13.661000,1,0.030200,0.952000,0.007330,0.136000,0.586000,81.531000,103000,4
0SRKWRFVLKtmZFleq1mkvv,"St. John Passion, BWV 245, Pt. 2 (1725 Version): Christe, du Lamm Gottes","Johann Sebastian Bach",41,classical,0.077100,0.175000,6,-19.571000,0,0.039600,0.979000,0.779000,0.111000,0.109000,76.388000,258253,4
3Bj0BvoWdiZdYq2t0r2Kpd,"Pièce d'orgue in G Major, BWV 572 ""Fantasia in G Major""","Johann Sebastian Bach",35,classical,0.064300,0.222000,7,-16.812000,1,0.034600,0.805000,0.833000,0.205000,0.100000,62.456000,514547,4
5dkrkgvvnNqMcunVXac337,"Goldberg Variations, BWV 988: Aria","Johann Sebastian Bach",33,classical,0.089000,0.003420,7,-36.050000,1,0.049100,0.956000,0.992000,0.102000,0.039300,166.141000,254067,3
6lLrmBTVRPrYmIsgvVdPuv,"Prelude & Fugue in D Minor, BWV 539: Prelude","Johann Sebastian Bach",33,classical,0.198000,0.001840,9,-41.038000,0,0.041100,0.979000,0.939000,0.079600,0.133000,61.274000,106080,4
6QHinbRAHyREUOg8B4yzI9,"Magnificat in D Major, BWV 243: I. Magnificat","Johann Sebastian Bach",31,classical,0.504000,0.296000,1,-18.328000,1,0.039200,0.962000,0.518000,0.305000,0.679000,100.132000,171000,3
446oJSPuUSbMhk4pcWJPim,"St. John Passion, BWV 245, Pt. 1: No. 1, Herr, unser Herrscher","Johann Sebastian Bach",31,classical,0.276000,0.223000,6,-20.060000,0,0.031400,0.980000,0.891000,0.117000,0.236000,69.975000,533720,4
6e8Je0Peec8XXMUYoHXHk7,"Prelude & Fugue in A Minor, BWV 895: II. Fugue","Johann Sebastian Bach",28,classical,0.381000,0.333000,8,-18.604000,0,0.036800,0.754000,0.010900,0.082300,0.731000,131.924000,134411,4
0mOOLSEusqrOUZqDPcjydv,"The Art of Fugue, BWV 1080: Contrapunctus I","Johann Sebastian Bach",27,classical,0.410000,0.352000,1,-20.366000,0,0.044200,0.940000,0.010700,0.058700,0.473000,107.425000,184757,4
6m2vIlOrmgexJxRvuWms7E,"Prelude & Fugue in D Minor, BWV 539: Fugue","Johann Sebastian Bach",32,classical,0.141000,0.031100,2,-29.353000,0,0.039400,0.923000,0.827000,0.085400,0.098900,167.786000,308840,4
4EZVLuNWffwLDS0UNzhiO7,"Suite ""Aufs Lautenwerk"" in E Minor, BWV 996: II. Allemande","Johann Sebastian Bach",27,classical,0.262000,0.281000,3,-23.203000,0,0.040400,0.532000,0.003590,0.057600,0.684000,115.053000,162104,4
5bs1FTghYCQCOZRXy0wgGt,"Choral ""Aus der Tiefe rufe ich"", BWV 745","Johann Sebastian Bach",27,classical,0.379000,0.258000,3,-20.227000,0,0.033300,0.783000,0.001380,0.068200,0.360000,100.247000,172825,4
1doGeZOqIYolrxt31ATByT,"Magnificat in D Major, BWV 243: II. Et exultavit spiritus meus","Johann Sebastian Bach",29,classical,0.389000,0.045300,1,-22.813000,1,0.046100,0.986000,0.000317,0.114000,0.507000,129.963000,125840,3
4lvj7I4GFRd42XmEUUTMdq,"Goldberg Variations, BWV 988: Var. 1","Johann Sebastian Bach",32,classical,0.154000,0.027600,7,-29.869000,1,0.048000,0.973000,0.878000,0.174000,0.436000,173.615000,135467,3
00lAp9YKxvhK5EznpsFIs5,"Magnificat in D Major, BWV 243: III. Quia respexit humilitatem","Johann Sebastian Bach",29,classical,0.196000,0.017500,10,-27.057000,0,0.042300,0.973000,0.138000,0.660000,0.258000,87.119000,129427,4
6DwKQ9oGkhXXL4E1rkjO5A,"Suite ""Aufs Lautenwerk"" in E Minor, BWV 996: III. Courante","Johann Sebastian Bach",26,classical,0.308000,0.319000,3,-16.669000,0,0.031700,0.711000,0.122000,0.103000,0.705000,143.266000,119292,4
4DBSGVc3kM6KqNmudizsss,"Magnificat in D Major, BWV 243: V. Quia fecit mihi magna","Johann Sebastian Bach",28,classical,0.328000,0.093500,8,-21.466000,1,0.039700,0.993000,0.006050,0.124000,0.261000,70.580000,119880,4
1bUeZq9tRbXr6fnqD8xFOk,"Goldberg Variations, BWV 988: Var. 4","Johann Sebastian Bach",31,classical,0.282000,0.087500,7,-21.816000,1,0.031600,0.962000,0.891000,0.130000,0.341000,75.585000,81933,4
7wXz4A4YiJYKZMEHkqVVD9,"Magnificat in D Major, BWV 243: VI. Et misericordia","Johann Sebastian Bach",28,classical,0.119000,0.042100,3,-24.754000,0,0.054500,0.987000,0.000375,0.112000,0.088700,79.994000,170053,3
2a2chl0rAjiQFSTDbXdpKl,"Goldberg Variations, BWV 988: Var. 2","Johann Sebastian Bach",31,classical,0.175000,0.008490,7,-32.907000,1,0.036800,0.967000,0.987000,0.209000,0.209000,89.277000,103880,4
3pu9vMzjXb4eKo94q26j2k,"Goldberg Variations, BWV 988: Var. 3, Canone all'unisono","Johann Sebastian Bach",31,classical,0.200000,0.019800,7,-30.108000,1,0.035000,0.991000,0.941000,0.114000,0.377000,67.370000,143813,5
6h1YOuiiafPJKzHAc0ATKj,"Goldberg Variations, BWV 988: Var. 5","Johann Sebastian Bach",31,classical,0.223000,0.024600,7,-32.036000,1,0.041000,0.991000,0.923000,0.152000,0.322000,110.495000,112320,4
1E6849RfCNjHtAncAPCwod,"Goldberg Variations, BWV 988: Var. 6, Canone alla seconda","Johann Sebastian Bach",30,classical,0.171000,0.005580,7,-32.113000,1,0.042300,0.981000,0.933000,0.202000,0.217000,123.559000,87400,5
2pX0jfEmGNingyKq5uNCr1,"Goldberg Variations, BWV 988: Var. 7","Johann Sebastian Bach",30,classical,0.107000,0.059200,7,-26.768000,1,0.042500,0.972000,0.887000,0.098600,0.555000,65.041000,127107,4
5sNAa7UFdPVWe9i3HysiKc,"Goldberg Variations, BWV 988: Var. 8","Johann Sebastian Bach",30,classical,0.104000,0.059800,7,-27.910000,1,0.047000,0.963000,0.895000,0.194000,0.626000,62.689000,127013,4
7ncOwFWOKY94XLrTHAKRch,"Suite ""Aufs Lautenwerk"" in E Minor, BWV 996: IV. Sarabande","Johann Sebastian Bach",25,classical,0.342000,0.141000,3,-20.636000,0,0.042800,0.715000,0.020000,0.117000,0.404000,84.407000,247801,3
5pDceO6kx4V0RPCLewRxQb,"Suite ""Aufs Lautenwerk"" in E Minor, BWV 996: V. Bourrée","Johann Sebastian Bach",27,classical,0.338000,0.312000,3,-20.097000,0,0.035000,0.648000,0.001700,0.347000,0.929000,122.138000,51454,4
3KdQsTRNUXPye1rrFqBJ85,"Magnificat in D Major, BWV 243: VII. Fecit potentiam","Johann Sebastian Bach",28,classical,0.520000,0.354000,1,-16.297000,1,0.041400,0.961000,0.000657,0.084100,0.506000,98.202000,100533,4
32PXt0FxlN718dzKy1fWGb,"Goldberg Variations, BWV 988: Var. 10, Fughetta","Johann Sebastian Bach",30,classical,0.180000,0.141000,7,-18.539000,1,0.035300,0.841000,0.809000,0.242000,0.566000,74.843000,107733,4
7rfJjDX1BjXplASwc5ubIU,"Magnificat in D Major, BWV 243: VIII. Deposuit potentes","Johann Sebastian Bach",28,classical,0.444000,0.157000,5,-24.912000,0,0.043200,0.978000,0.258000,0.347000,0.560000,105.085000,119693,3
1UIPQHSP1dDEYHDu6DmCJG,"St. John Passion, BWV 245, Pt. 1: No. 2, Jesus ging mit seinen Jüngern - Jesum von Nazareth - Jesus antwortete","Johann Sebastian Bach",28,classical,0.460000,0.111000,11,-22.067000,0,0.144000,0.925000,0,0.122000,0.195000,107.670000,145827,5
1thUBWRHUkibZyxrL1MaFt,"Goldberg Variations, BWV 988: Var. 9, Canone alla terza","Johann Sebastian Bach",30,classical,0.235000,0.012100,7,-32.617000,1,0.041000,0.975000,0.943000,0.174000,0.140000,63.867000,116107,4
20PqZpVgpVDVeQJBZecAza,"Magnificat in D Major, BWV 243: X. Suscepit Israel","Johann Sebastian Bach",27,classical,0.193000,0.038400,10,-25.598000,0,0.043300,0.985000,0.000113,0.080800,0.047900,126.108000,113640,4
4vwa7gE8ee04wrI3LwQSK3,"St. John Passion, BWV 245, Pt. 1: No. 3, O große Lieb, o Lieb ohn' alle Maße","Johann Sebastian Bach",28,classical,0.201000,0.068900,6,-25.220000,0,0.045400,0.994000,0.857000,0.112000,0.093000,76.433000,54533,3
3cB5hlGwwWPgl7kvSIIhDE,"St. John Passion, BWV 245, Pt. 1: No. 7, Von den Stricken meiner Sünden","Johann Sebastian Bach",27,classical,0.260000,0.113000,1,-22.057000,0,0.046700,0.987000,0.224000,0.165000,0.292000,74.154000,275387,3
0tnNp69zhwJUjImbgMFiZB,"Goldberg Variations, BWV 988: Var. 11","Johann Sebastian Bach",30,classical,0.127000,0.014800,7,-39.203000,1,0.046000,0.984000,0.881000,0.291000,0.278000,97.435000,119480,4
6L5xwvV3ahzLBnA74oPFKF,"The Well-Tempered Clavier, Book 1 - Prelude & Fugue in C-Sharp Minor, BWV 849: I. Prelude","Johann Sebastian Bach",25,classical,0.289000,0.178000,0,-25.355000,0,0.034000,0.773000,0.025600,0.085600,0.399000,95.728000,160322,3
7IzRJKQfEFk8iNN5whlPeW,"Magnificat in D Major, BWV 243: IX. Esurientes implevit bonis","Johann Sebastian Bach",27,classical,0.339000,0.022400,3,-27.607000,1,0.042100,0.983000,0.000005,0.203000,0.401000,126.975000,164000,4
41MHSpv1iTXS2rRVGd17Bj,"Magnificat in D Major, BWV 243: XI. Sicut locutus est","Johann Sebastian Bach",27,classical,0.399000,0.080100,1,-22.050000,1,0.034100,0.984000,0,0.101000,0.577000,77.730000,90387,4
4Grb8kaOTidSiHjMOZH7tu,"St. John Passion, BWV 245, Pt. 1: No. 4, Auf daß das Wort erfüllet würde","Johann Sebastian Bach",28,classical,0.415000,0.136000,6,-22.061000,0,0.133000,0.922000,0,0.316000,0.190000,138.223000,65013,5
